,total_detections,total_detections,total_detections,valid_tiles
,sum,mean,count,sum
location,,,,
Beijing,26,3.25,8,968
Bluewater,59,7.38,8,1033
Centro_Oberhausen,19,2.38,8,1149
Chicago,117,14.62,8,662
Detroit_Auto,42,5.25,8,1028
Galeries_Lafayette,11,1.38,8,999
Johannesburg,17,2.43,7,941
La_Maquinista,12,1.5,8,723
London,71,8.88,8,1144
Los_Angeles,120,15.0,8,523
Mall_of_Asia_Manila,18,2.25,8,1053
Mumbai,53,6.62,8,1103
New_York_City,33,4.12,8,961
Pacific_Mall_Delhi,1,0.12,8,1152
Paris,11,1.38,8,999
Port_of_Antwerp,638,79.75,8,1132
Port_of_Busan,390,48.75,8,362
Port_of_Durban,270,33.75,8,1033
Port_of_Hamburg,582,72.75,8,860
Port_of_Hong_Kong,201,25.12,8,472
Port_of_Houston,1138,142.25,8,985
Port_of_Jebel_Ali,2996,374.5,8,1061
Port_of_Lagos,178,22.25,8,1152
Port_of_Long_Beach,636,79.5,8,523
Port_of_Los_Angeles,636,79.5,8,523
Port_of_Mombasa,220,27.5,8,1151
Port_of_New_York_New_Jersey,618,77.25,8,931
Port_of_Ningbo,1021,127.62,8,927
Port_of_Rotterdam,1455,181.88,8,1121
Port_of_Salalah,3065,383.12,8,424
Port_of_Savannah,725,90.62,8,1100
Port_of_Shanghai,559,79.86,7,774
Port_of_Singapore,1259,157.38,8,1152
Port_of_Valencia,468,58.5,8,373
Pune_Hinjawadi,2,0.25,8,1152
Sao_Paulo,16,2.0,8,1056
Select_Citywalk,2,0.25,8,1152
Shenzhen_Electronics,6,0.75,8,659
Suzhou_Industrial_Park,32,4.0,8,1152
Tijuana_Manufacturing,12,1.5,8,344
Tokyo,14,1.75,8,892
Trafford_Centre,20,2.5,8,1149
Westfield_London,71,8.88,8,1144
